,Packet Loss (%)
160,52.900000000000006
161,52.900000000000006
162,53.0
163,52.900000000000006
164,53.0
165,52.900000000000006
166,53.0
167,53.0
168,53.0
169,53.0
170,53.0
171,52.900000000000006
172,52.900000000000006
173,52.800000000000004
174,52.800000000000004
175,52.7
176,52.7
177,52.6
178,52.5
179,52.400000000000006
180,52.400000000000006
181,52.5
182,52.400000000000006
183,52.400000000000006
184,52.300000000000004
185,52.400000000000006
186,52.400000000000006
187,52.400000000000006
188,52.300000000000004
189,52.300000000000004
190,52.300000000000004
191,52.2
192,52.2
193,52.2
194,52.2
195,52.300000000000004
196,52.2
197,52.2
198,52.2
199,52.1
200,52.2
201,52.300000000000004
202,52.2
203,52.2
204,52.2
205,52.2
206,52.300000000000004
207,52.300000000000004
208,52.2
209,52.300000000000004
210,52.2
211,52.2
212,52.2
213,52.2
214,52.300000000000004
215,52.2
216,52.2
217,52.2
218,52.2
219,52.2
220,52.300000000000004
221,52.400000000000006
222,52.300000000000004
223,52.300000000000004
224,52.300000000000004
225,52.300000000000004
226,52.300000000000004
227,52.300000000000004
228,52.300000000000004
229,52.2
230,52.1
231,52.1
232,52.0
233,52.0
234,52.0
235,52.0
236,52.1
237,52.0
238,52.0
239,52.0
240,51.9
241,52.0
242,51.9
243,51.9
244,51.800000000000004
245,51.7
246,51.6
247,51.7
248,51.800000000000004
249,51.9
250,51.9
251,51.9
252,51.9
253,51.9
254,51.800000000000004
255,51.7
256,51.7
257,51.7
258,51.800000000000004
259,51.800000000000004
260,51.7
261,51.7
262,51.7
263,51.7
264,51.7
265,51.800000000000004
266,51.7
267,51.7
268,51.7
269,51.6
270,51.6
271,51.5
272,51.6
273,51.6
274,51.5
275,51.6
276,51.5
277,51.6
278,51.6
279,51.7
280,51.7
281,51.6
282,51.6
283,51.6
284,51.6
285,51.6
286,51.7
287,51.7
288,51.800000000000004
289,51.800000000000004
290,51.9
291,51.9
292,51.9
293,52.0
294,52.0
295,52.0
296,52.1
297,52.0
298,52.0
299,52.0
300,51.9
301,51.9
302,51.800000000000004
303,51.800000000000004
304,51.9
305,51.9
306,51.800000000000004
307,51.800000000000004
308,51.800000000000004
309,51.800000000000004
310,51.800000000000004
311,51.800000000000004
312,51.7
313,51.6
314,51.6
315,51.7
316,51.7
317,51.7
318,51.7
319,51.800000000000004
320,51.9
321,52.0
322,52.1
323,52.2
324,52.2
325,52.1
326,52.1
327,52.2
328,52.300000000000004
329,52.300000000000004
330,52.2
331,52.1
332,52.2
333,52.300000000000004
334,52.300000000000004
335,52.300000000000004
336,52.400000000000006
337,52.5
338,52.5
339,52.5
340,52.5
341,52.6
342,52.5
343,52.5
344,52.5
345,52.5
346,52.400000000000006
347,52.5
348,52.6
349,52.5
350,52.400000000000006
351,52.5
352,52.5
353,52.400000000000006
354,52.400000000000006
355,52.300000000000004
356,52.300000000000004
357,52.2
358,52.1
359,52.0
360,51.9
361,51.9
362,51.9
363,51.9
364,51.800000000000004
365,51.9
366,52.0
367,52.0
368,51.9
369,51.800000000000004
370,51.800000000000004
371,51.7
372,51.800000000000004
373,51.800000000000004
374,51.7
375,51.7
376,51.7
377,51.800000000000004
378,51.7
379,51.6
380,51.6
381,51.5
382,51.6
383,51.6
384,51.6
385,51.7
386,51.7
387,51.7
388,51.6
389,51.6
390,51.5
391,51.5
392,51.4
393,51.4
394,51.5
395,51.4
396,51.4
397,51.4
398,51.300000000000004
399,51.300000000000004
400,51.300000000000004
401,51.300000000000004
402,51.2
403,51.300000000000004
404,51.300000000000004
405,51.300000000000004
406,51.300000000000004
407,51.300000000000004
408,51.2
409,51.300000000000004
410,51.300000000000004
411,51.300000000000004
412,51.300000000000004
413,51.4
414,51.4
415,51.300000000000004
416,51.300000000000004
417,51.2
418,51.1
419,51.1
420,51.1
421,51.1
422,51.1
423,51.2
424,51.2
425,51.1
426,51.1
427,51.0
428,51.0
429,50.9
430,51.0
431,51.0
432,51.0
433,51.0
434,51.0
435,51.0
