Time,Message
707059.7141573,"0.00
"
707059.7153659,"0.00
"
707059.7166627,"0.00
"
707059.7179448,"0.00
"
707059.71922,"0.00
"
707059.7203073,"0.00
"
707059.7215058,"0.00
"
707059.7227327,"0.00
"
707059.7240583,"0.00
"
707059.7256104,"0.00
"
707059.7267768,"0.00
"
707059.7281078,"0.00
"
707059.7293086,"0.00
"
707059.7305882,"0.00
"
707059.7317013,"0.00
"
707059.7331635,"0.00
"
707059.7343864,"0.00
"
707059.7355859,"0.00
"
707059.7369695,"0.00
"
707059.7381018,"0.00
"
707059.7394614,"0.00
"
707059.7407407,"0.00
"
707059.7420061,"0.00
"
707059.7432804,"0.00
"
707059.7445465,"0.00
"
707059.7458141,"0.00
"
707059.747077,"0.00
"
707059.7483183,"0.00
"
707059.7496095,"0.00
"
707059.7506404,"0.00
"
707059.7522394,"0.00
"
707059.7531301,"0.00
"
707059.7544198,"0.00
"
707059.7559542,"0.00
"
707059.7571759,"0.00
"
707059.7584665,"0.00
"
707059.7597471,"0.00
"
707059.7610564,"0.00
"
707059.7623152,"0.00
"
707059.7635786,"0.00
"
707059.7648398,"0.00
"
707059.7659518,"0.00
"
707059.7673208,"0.00
"
707059.7686395,"0.00
"
707059.7699011,"0.00
"
707059.7709115,"0.00
"
707059.772263,"0.00
"
707059.7736559,"0.00
"
707059.7749612,"0.00
"
707059.7762748,"0.00
"
707059.7775303,"0.00
"
707059.7788206,"0.00
"
707059.7799177,"0.00
"
707059.7810932,"0.00
"
707059.7825663,"0.00
"
707059.7838507,"0.00
"
707059.7851622,"0.00
"
707059.7863897,"0.00
"
707059.7875713,"0.00
"
707059.7887261,"0.00
"
707059.7901386,"0.00
"
707059.7914386,"0.00
"
707059.7927365,"0.00
"
707059.7939888,"0.00
"
707059.7952465,"0.00
"
707059.796473,"0.00
"
707059.7977907,"0.00
"
707059.7990472,"0.00
"
707059.8003182,"0.00
"
707059.8016076,"0.00
"
707059.8028479,"0.00
"
707059.8040106,"0.00
"
707059.8053756,"0.00
"
707059.8066186,"0.00
"
707059.8079631,"0.00
"
707059.8091513,"0.00
"
707059.8104283,"0.00
"
707059.8117376,"0.00
"
707059.8129909,"0.00
"
707059.8142532,"0.00
"
707059.8155126,"0.00
"
707059.8168093,"0.00
"
707059.8180631,"0.00
"
707059.8193171,"0.00
"
707059.8205617,"0.00
"
707059.8216858,"0.00
"
707059.8229268,"0.00
"
707059.8243234,"0.00
"
707059.8256619,"0.00
"
707059.8268767,"0.00
"
707059.8281446,"0.00
"
707059.8294591,"0.00
"
707059.8307226,"0.00
"
707059.8319087,"0.00
"
707059.8331952,"0.00
"
707059.8345471,"0.00
"
707059.8357904,"0.00
"
707059.8370812,"0.00
"
707059.8380738,"0.00
"
707059.8396037,"0.00
"
707059.8408363,"0.00
"
707059.8421545,"0.00
"
707059.8433718,"0.00
"
707059.8446582,"0.00
"
707059.8459329,"0.00
"
707059.8471472,"0.00
"
707059.848373,"0.00
"
707059.8497264,"0.00
"
707059.8509562,"0.00
"
707059.8522713,"0.00
"
707059.8535721,"0.00
"
707059.8545901,"0.00
"
707059.8560237,"0.00
"
707059.8571367,"0.00
"
707059.858413,"0.00
"
707059.8598438,"0.00
"
707059.8611,"0.00
"
707059.8624052,"0.00
"
707059.8636517,"0.00
"
707059.8649231,"0.00
"
707059.8661445,"0.00
"
707059.8674347,"0.00
"
707059.868718,"0.00
"
707059.8699871,"0.00
"
707059.8710557,"0.00
"
707059.8722575,"0.00
"
707059.8735506,"0.00
"
707059.8748655,"0.00
"
707059.8761664,"0.00
"
707059.8774339,"0.00
"
707059.8786919,"0.00
"
707059.8801573,"0.00
"
707059.8814055,"0.00
"
707059.8826635,"0.00
"
707059.8839114,"0.00
"
707059.8851887,"0.00
"
707059.8862806,"0.00
"
707059.8877229,"0.00
"
707059.8887509,"0.00
"
707059.8901559,"0.00
"
707059.8913639,"0.00
"
707059.8925343,"0.00
"
707059.8938826,"0.00
"
707059.8951728,"0.00
"
707059.8964841,"0.00
"
707059.897752,"0.00
"
707059.8991448,"0.00
"
707059.9004189,"0.00
"
707059.901646,"0.00
"
707059.9027775,"0.00
"
707059.9040333,"0.00
"
707059.9052478,"0.00
"
707059.906672,"0.00
"
707059.9077319,"0.00
"
707059.9091627,"0.00
"
707059.9104034,"0.00
"
